IP,RTTavg,Label
x.x.x.x,14.639,legit
x.x.x.x,126.516,legit
x.x.x.x,162.145,legit
x.x.x.x,165.805,legit
x.x.x.x,15.398,legit
x.x.x.x,89.944,legit
x.x.x.x,11.652,legit
x.x.x.x,9.635,legit
x.x.x.x,15.782,legit
x.x.x.x,18.991,legit
x.x.x.x,17.46,legit
x.x.x.x,9.082,legit
x.x.x.x,15.614,legit
x.x.x.x,19.062,legit
x.x.x.x,12.551,legit
x.x.x.x,136.084,legit
x.x.x.x,14.324,legit
x.x.x.x,12.988,legit
x.x.x.x,9.238,legit
x.x.x.x,11.538,legit
x.x.x.x,12.115,legit
x.x.x.x,9.138,legit
x.x.x.x,264.582,legit
x.x.x.x,266.771,legit
x.x.x.x,93.702,legit
x.x.x.x,104.64,legit
x.x.x.x,6.707,legit
x.x.x.x,8.891,legit
x.x.x.x,7.763,legit
x.x.x.x,6.093,legit
x.x.x.x,7.8,legit
x.x.x.x,99.385,legit
x.x.x.x,7.153,legit
x.x.x.x,114.713,legit
x.x.x.x,98.994,legit
x.x.x.x,7.538,legit
x.x.x.x,7.242,legit
x.x.x.x,7.103,legit
x.x.x.x,7.16,legit
x.x.x.x,9.247,legit
x.x.x.x,7.25,legit
x.x.x.x,6.814,legit
x.x.x.x,6.895,legit
x.x.x.x,7.459,legit
x.x.x.x,7.287,legit
x.x.x.x,239.577,legit
x.x.x.x,6.28,legit
x.x.x.x,6.146,legit
x.x.x.x,6.834,legit
x.x.x.x,244.074,legit
x.x.x.x,244.42,legit
x.x.x.x,260.609,legit
x.x.x.x,6.636,legit
x.x.x.x,6.314,legit
x.x.x.x,6.708,legit
x.x.x.x,6.974,legit
x.x.x.x,6.363,legit
x.x.x.x,7.602,legit
x.x.x.x,6.206,legit
x.x.x.x,6.436,legit
x.x.x.x,6.804,legit
x.x.x.x,8.363,legit
x.x.x.x,118.732,legit
x.x.x.x,7.033,legit
x.x.x.x,6.79,legit
x.x.x.x,6.168,legit
x.x.x.x,7.312,legit
x.x.x.x,7.766,legit
x.x.x.x,7.761,legit
x.x.x.x,8.864,legit
x.x.x.x,7.881,legit
x.x.x.x,6.885,legit
x.x.x.x,260.547,legit
x.x.x.x,6.955,legit
