IP,RTTavg,Label
y.y.y.y,152.118,phish
y.y.y.y,166.62,phish
y.y.y.y,153.913,phish
y.y.y.y,250.242,phish
y.y.y.y,216.9,phish
y.y.y.y,346.891,phish
y.y.y.y,94.15,phish
y.y.y.y,133.438,phish
y.y.y.y,251.629,phish
y.y.y.y,123.609,phish
y.y.y.y,230.596,phish
y.y.y.y,10.724,phish
y.y.y.y,144.136,phish
y.y.y.y,245.52,phish
y.y.y.y,7.62,phish
y.y.y.y,163.956,phish
y.y.y.y,6.997,phish
y.y.y.y,250.461,phish
y.y.y.y,119.604,phish
y.y.y.y,166.259,phish
y.y.y.y,141.898,phish
y.y.y.y,242.505,phish
y.y.y.y,8.271,phish
y.y.y.y,240.839,phish
y.y.y.y,249.272,phish
y.y.y.y,172.868,phish
y.y.y.y,279.707,phish
y.y.y.y,160.342,phish
y.y.y.y,241.347,phish
y.y.y.y,188.377,phish
y.y.y.y,344.474,phish
y.y.y.y,103.859,phish
y.y.y.y,238.264,phish
y.y.y.y,6.141,phish
y.y.y.y,146.411,phish
y.y.y.y,240.732,phish
y.y.y.y,6.568,phish
y.y.y.y,144.147,phish
y.y.y.y,141.028,phish
y.y.y.y,6.043,phish
y.y.y.y,120.98,phish
y.y.y.y,147.283,phish
y.y.y.y,265.131,phish
y.y.y.y,163.683,phish
y.y.y.y,249.654,phish
y.y.y.y,255.65,phish
y.y.y.y,275.118,phish
y.y.y.y,163.921,phish
y.y.y.y,262.156,phish
y.y.y.y,165.765,phish
y.y.y.y,251.776,phish
y.y.y.y,112.424,phish
y.y.y.y,140.764,phish
y.y.y.y,261.995,phish
y.y.y.y,231.465,phish
y.y.y.y,158.991,phish
y.y.y.y,175.758,phish
y.y.y.y,116.045,phish
y.y.y.y,7.036,phish
y.y.y.y,89.633,phish
y.y.y.y,6.438,phish
y.y.y.y,102.451,phish
y.y.y.y,8.116,phish
y.y.y.y,9.346,phish
y.y.y.y,245.486,phish
y.y.y.y,6.836,phish
y.y.y.y,262.762,phish
y.y.y.y,134.406,phish
y.y.y.y,6.823,phish
y.y.y.y,101.142,phish
y.y.y.y,254.598,phish
y.y.y.y,277.507,phish
y.y.y.y,148.405,phish
y.y.y.y,159.485,phish
y.y.y.y,259.577,phish
y.y.y.y,6.22,phish
y.y.y.y,262.303,phish
y.y.y.y,112.999,phish
y.y.y.y,6.826,phish
y.y.y.y,76.19,phish
y.y.y.y,274.169,phish
y.y.y.y,289.624,phish
y.y.y.y,6.805,phish
y.y.y.y,117.536,phish
y.y.y.y,133.017,phish
y.y.y.y,255.671,phish
y.y.y.y,167.58,phish
y.y.y.y,243.273,phish
y.y.y.y,170.602,phish
y.y.y.y,101.263,phish
y.y.y.y,268.73,phish
y.y.y.y,248.895,phish
y.y.y.y,5.993,phish
y.y.y.y,6.177,phish
y.y.y.y,262.995,phish
y.y.y.y,6.611,phish
y.y.y.y,110.433,phish
y.y.y.y,112.426,phish
y.y.y.y,6.434,phish
y.y.y.y,231.195,phish
y.y.y.y,253.672,phish
y.y.y.y,248.343,phish
y.y.y.y,7.881,phish
y.y.y.y,7.331,phish
y.y.y.y,80.091,phish
y.y.y.y,6.682,phish
y.y.y.y,225.027,phish
y.y.y.y,160.545,phish
y.y.y.y,6.503,phish
y.y.y.y,271.516,phish
y.y.y.y,205.866,phish
y.y.y.y,213.796,phish
y.y.y.y,201.532,phish
y.y.y.y,120.737,phish
y.y.y.y,168.39,phish
y.y.y.y,119.917,phish
y.y.y.y,128.115,phish
y.y.y.y,108.092,phish
y.y.y.y,128.264,phish
y.y.y.y,161.293,phish
y.y.y.y,89.455,phish
y.y.y.y,139.751,phish
y.y.y.y,91.668,phish
y.y.y.y,91.004,phish
y.y.y.y,105.847,phish
y.y.y.y,6.698,phish
y.y.y.y,38.672,phish
y.y.y.y,140.522,phish
y.y.y.y,241.101,phish
y.y.y.y,132.679,phish
y.y.y.y,5.926,phish
y.y.y.y,169.559,phish
y.y.y.y,105.768,phish
y.y.y.y,162.598,phish
y.y.y.y,122.793,phish
y.y.y.y,6.091,phish
y.y.y.y,6.799,phish
y.y.y.y,108.144,phish
y.y.y.y,6.514,phish
y.y.y.y,116.753,phish
y.y.y.y,351.491,phish
y.y.y.y,7.269,phish
y.y.y.y,238.922,phish
y.y.y.y,121.065,phish
y.y.y.y,129.46,phish
y.y.y.y,374.661,phish
y.y.y.y,170.67,phish
y.y.y.y,140.778,phish
y.y.y.y,1137.792,phish
y.y.y.y,6.955,phish
y.y.y.y,6.923,phish
y.y.y.y,142.704,phish
y.y.y.y,167.148,phish
y.y.y.y,6.467,phish
y.y.y.y,108.95,phish
y.y.y.y,108.811,phish
y.y.y.y,5.953,phish
