CreatedDate,ExpirationDate,TotalDays,Label
11/1/1994,10/31/2024,10957,legit
4/15/1999,5/23/2023,8804,legit
7/16/2004,7/16/2022,6574,legit
9/4/2002,9/4/2026,8766,legit
3/21/2011,3/31/2022,4028,legit
6/4/2004,6/4/2031,9861,legit
3/29/1997,3/30/2031,12419,legit
11/11/1997,11/10/2023,9495,legit
5/2/1991,5/3/2022,11324,legit
1/21/2000,1/21/2022,8036,legit
4/20/1999,4/20/2022,8401,legit
11/4/1998,11/3/2031,12052,legit
8/13/1995,8/12/2022,9861,legit
3/2/1999,11/1/2023,9010,legit
4/29/2005,4/29/2022,6209,legit
3/4/1995,3/5/2022,9863,legit
11/14/1997,11/13/2030,12052,legit
12/28/1998,12/28/2022,8766,legit
1/10/1995,1/9/2024,10591,legit
9/25/1995,9/24/2022,9861,legit
7/8/1994,7/7/2022,10226,legit
2/26/1991,11/29/2022,11599,legit
7/10/1997,7/9/2022,9130,legit
5/25/1989,5/24/2022,12052,legit
9/12/1995,9/11/2022,9861,legit
4/7/1992,4/8/2031,14245,legit
7/15/1999,7/15/2022,8401,legit
12/29/1998,12/29/2022,8766,legit
11/18/2004,11/30/2022,6586,legit
1/29/1999,1/29/2024,9131,legit
8/8/1996,8/7/2027,11321,legit
6/6/2001,6/30/2022,7694,legit
1/8/2016,1/8/2022,2192,legit
11/24/2009,11/30/2022,4754,legit
2/15/1993,2/16/2022,10593,legit
6/4/1995,6/3/2022,9861,legit
5/28/2006,5/28/2022,5844,legit
10/18/2017,10/18/2022,1826,legit
9/25/2007,9/25/2022,5479,legit
11/6/2000,11/6/2025,9131,legit
4/25/1986,4/26/2022,13150,legit
3/26/2001,3/31/2022,7675,legit
3/6/2000,3/6/2022,8035,legit
10/21/2016,10/31/2022,2201,legit
6/28/1995,6/27/2023,10226,legit
7/21/2015,7/21/2023,2922,legit
12/3/2016,12/3/2022,2191,legit
9/18/2014,9/18/2022,2922,legit
9/29/2015,9/29/2022,2557,legit
11/25/2020,11/25/2022,730,legit
2/23/2014,2/23/2026,4383,legit
3/18/2017,3/18/2022,1826,legit
9/16/2015,9/16/2030,5479,legit
7/3/1996,7/2/2023,9860,legit
4/15/2016,4/15/2022,2191,legit
11/17/2016,11/17/2022,2191,legit
3/15/2018,3/15/2022,1461,legit
9/5/2018,9/5/2026,2922,legit
9/14/2008,9/14/2022,5113,legit
2/21/2014,2/21/2022,2922,legit
5/4/2011,5/4/2023,4383,legit
3/11/2020,3/11/2022,730,legit
7/27/2015,7/27/2022,2557,legit
9/5/2018,9/5/2026,2922,legit
7/21/2015,7/21/2023,2922,legit
11/30/2019,11/30/2022,1096,legit
9/14/2008,9/14/2022,5113,legit
3/30/2016,3/30/2022,2191,legit
8/13/2013,8/13/2022,3287,legit
9/19/2012,9/19/2022,3652,legit
9/3/2012,9/19/2023,4033,legit
7/23/2012,5/23/2022,3591,legit
2/6/2013,2/6/2022,3287,legit
6/24/2017,6/24/2023,2191,legit
8/13/2013,8/13/2022,3287,legit
6/10/2015,6/10/2022,2557,legit
11/14/2017,11/14/2022,1826,legit
1/5/2020,1/5/2022,731,legit
4/11/2013,4/11/2023,3652,legit
2/3/2015,2/3/2022,2557,legit
8/26/2016,8/26/2022,2191,legit
